county_name,fips,total_births,morbidity_births,morbidity_rate,state
"Bay County, MI",26017,1061,17.0,0.016022620169651274,MI
"Berrien County, MI",26021,1720,15.0,0.00872093023255814,MI
"Calhoun County, MI",26025,1660,12.0,0.007228915662650603,MI
"Eaton County, MI",26045,1139,0.0,0.0,MI
"Genesee County, MI",26049,4819,31.0,0.006432869890018676,MI
"Ingham County, MI",26065,3414,28.0,0.008201523140011716,MI
"Jackson County, MI",26075,1778,11.0,0.006186726659167604,MI
"Kalamazoo County, MI",26077,3163,51.0,0.01612393297502371,MI
"Kent County, MI",26081,8811,60.0,0.0068096697310180455,MI
"Livingston County, MI",26093,1783,26.0,0.014582164890633763,MI
"Macomb County, MI",26099,9416,161.0,0.01709855564995752,MI
"Monroe County, MI",26115,1526,11.0,0.007208387942332897,MI
"Muskegon County, MI",26121,2127,38.0,0.017865538316878232,MI
"Oakland County, MI",26125,13665,188.0,0.013757775338455909,MI
"Ottawa County, MI",26139,3441,25.0,0.007265329845975007,MI
"Saginaw County, MI",26145,2190,30.0,0.0136986301369863,MI
"St. Clair County, MI",26147,1589,16.0,0.010069225928256766,MI
"Washtenaw County, MI",26161,3692,72.0,0.01950162513542795,MI
"Wayne County, MI",26163,23149,273.0,0.011793166011490778,MI
"Unidentified Counties, MI",26999,21808,319.0,0.014627659574468085,MI
"Anoka County, MN",27003,4223,36.0,0.008524745441629173,MN
"Dakota County, MN",27037,5291,86.0,0.016254016254016256,MN
"Hennepin County, MN",27053,16495,239.0,0.014489239163382843,MN
"Olmsted County, MN",27109,2122,30.0,0.01413760603204524,MN
"Ramsey County, MN",27123,7731,141.0,0.01823826154443151,MN
"St. Louis County, MN",27137,1976,61.0,0.030870445344129555,MN
"Scott County, MN",27139,1893,21.0,0.011093502377179081,MN
"Stearns County, MN",27145,2038,27.0,0.01324828263002944,MN
"Washington County, MN",27163,2898,53.0,0.01828847481021394,MN
"Wright County, MN",27171,1787,23.0,0.012870733072188025,MN
"Unidentified Counties, MN",27999,23295,367.0,0.015754453745438934,MN
"DeSoto County, MS",28033,2191,16.0,0.00730260155180283,MS
"Harrison County, MS",28047,2790,31.0,0.011111111111111112,MS
"Hinds County, MS",28049,3123,20.0,0.006404098623118796,MS
"Jackson County, MS",28059,1651,16.0,0.009691096305269533,MS
