fips,n_obgyn,n_connected,n_hubs,n_isolated,mean_degree,median_degree,max_degree,mean_betweenness,mean_eigenvector,mean_weighted_degree,n_subspecialties,dominant_state,pct_connected,pct_isolated,pct_hub,county_name,total_births,morbidity_births,morbidity_rate,state,obgyn_per_10k_births,target,target_label
12001,43,11,3,32,3.3488372093023258,0.0,65,7.164627098840864e-08,-2.934232128417503e-19,51.72093023255814,5,FL,25.6,74.4,7.0,"Alachua County, FL",2862,10.0,0.0034940600978336,FL,150.24,False,Other
12005,24,8,1,16,1.9583333333333333,0.0,26,0.0,5.815377982207998e-20,36.041666666666664,4,FL,33.3,66.7,4.2,"Bay County, FL",2343,15.0,0.0064020486555697,FL,102.43,False,Other
12009,78,29,7,49,4.012820512820513,0.0,63,5.9079631860350955e-05,3.5331226124620022e-19,63.46153846153846,7,FL,37.2,62.8,9.0,"Brevard County, FL",5273,16.0,0.0030343258107339,FL,147.92,False,Other
12011,362,58,4,304,0.925414364640884,0.0,60,5.682909892739234e-05,6.981476012743092e-19,15.149171270718233,8,FL,16.0,84.0,1.1,"Broward County, FL",22563,85.0,0.0037672295350795,FL,160.44,False,Other
12015,13,6,1,7,7.461538461538462,0.0,73,0.00015328771604941288,2.9745634163766734e-17,140.23076923076923,2,FL,46.2,53.8,7.7,"Charlotte County, FL",1037,0.0,0.0,FL,125.36,False,Other
12017,12,8,2,4,9.083333333333334,1.5,48,0.0001572900197337497,-6.323489271227713e-19,144.75,2,FL,66.7,33.3,16.7,"Citrus County, FL",1064,0.0,0.0,FL,112.78,False,Other
12019,28,6,0,22,0.5,0.0,4,3.619348745890005e-09,-8.760536658502098e-20,8.678571428571429,3,FL,21.4,78.6,0.0,"Clay County, FL",2209,14.0,0.0063377093707559,FL,126.75,False,Other
12021,67,24,5,43,3.08955223880597,0.0,35,0.0001821533268147772,6.589231431831013e-12,49.1044776119403,6,FL,35.8,64.2,7.5,"Collier County, FL",3322,40.0,0.012040939193257,FL,201.69,False,Other
12031,230,49,11,181,1.6565217391304348,0.0,30,3.22626649035449e-07,5.0151236026319096e-20,25.38695652173913,7,FL,21.3,78.7,4.8,"Duval County, FL",13292,144.0,0.0108335841107433,FL,173.04,False,Other
12033,104,28,2,76,1.0384615384615385,0.0,20,2.6638835987389043e-05,1.8826725529080894e-05,15.788461538461538,6,FL,26.9,73.1,1.9,"Escambia County, FL",3967,23.0,0.0057978321149483,FL,262.16,False,Other
12053,18,5,1,13,2.611111111111111,0.0,25,0.0017360538649926146,2.932740260027281e-20,40.611111111111114,3,FL,27.8,72.2,5.6,"Hernando County, FL",1585,10.0,0.0063091482649842,FL,113.56,False,Other
12057,365,45,3,320,0.5260273972602739,0.0,26,7.224084655188847e-05,1.1925069283809839e-20,8.098630136986301,8,FL,12.3,87.7,0.8,"Hillsborough County, FL",17325,102.0,0.0058874458874458,FL,210.68,False,Other
12061,22,7,5,15,10.954545454545455,0.0,74,0.0014151904987130765,-1.2398993872018468e-18,199.4090909090909,3,FL,31.8,68.2,22.7,"Indian River County, FL",1245,14.0,0.0112449799196787,FL,176.71,False,Other
12069,36,16,3,20,4.833333333333333,0.0,62,0.00024301515538086772,1.38300383726429e-19,82.52777777777777,4,FL,44.4,55.6,8.3,"Lake County, FL",3269,18.0,0.0055062710308962,FL,110.13,False,Other
12071,108,30,5,78,1.6203703703703705,0.0,27,1.173767533037615e-05,2.799983189758309e-13,24.694444444444443,7,FL,27.8,72.2,4.6,"Lee County, FL",6750,31.0,0.0045925925925925,FL,160.0,False,Other
