revenue_source,amount
Forfeited Assets Trust Fund,6517938
Central Recycling and Transfer Fund,6511696
Municipal Housing Finance Fund,6496808
Forfeited Assets Trust Fund,6483592
Rent Stabilization Trust Fund,6483117
Proposition A Local Transit Assistance Fund,6452479
HOME Investment Partnerships Program Fund,6450646
Multi-Family Bulky Item Fund,6450000
Housing Department Affordable Housing Trust Fund,6415317
Supplemental Law Enforcement Services,6410354
Supplemental Law Enforcement Services,6407000
Forfeited Assets Trust Fund,6375263
Multi-Family Bulky Item Fund,6367000
Neighborhood Empowerment Fund,6308364
Transfer from Telecommunications Dev. Account,6223000
Grants Receipts,6192664
Special Parking Revenue Fund,6175629
Local Transportation Fund,6172212
Neighborhood Empowerment Fund,6141883
Central Recycling and Transfer Fund,6100000
HOME Investment Partnerships Program Fund,6094582
HOME Investment Partnerships Program Fund,6091386
Measure R Traffic Relief and Rail Expansion Fund,6089285
Arts Development Fee Trust Fund,6078727
Staples Arena Special Fund,6030000
HOME Investment Partnerships Program Fund,6028322
Staples Arena Special Fund,5997113
Neighborhood Empowerment Fund,5950166
City Employees Ridesharing Fund,5913159
Transfer from Reserve Fund,5791190
Household Hazardous Waste Special Fund,5776127
Disaster Assistance Trust Fund,5769754
Transit Occupancy Tax Airbnb,5769000
Accessible Housing Fund,5728130
HOME Investment Partnerships Program Fund,5624723
Arts and Cultural Facilities and Services Fund,5622282
Fines--State Vehicle Code,5590000
Special Gas Tax Fund,5584941
Staples Arena Special Fund,5580045
City Employees Ridesharing Fund,5569812
Neighborhood Empowerment Fund,5567617
Forfeited Assets Trust Fund,5551189
Street Damage Restoration Fee Fund,5542460
HOME Investment Partnerships Program Fund,5498893
Mobile Source Air Pollution Reduction Fund,5435079
El Pueblo Revenue Fund,5414239
Street Damage Restoration Fee Fund,5397000
El Pueblo Revenue Fund,5395526
Street Damage Restoration Fee Fund,5336000
Forfeited Assets Trust Fund,5328984
Central Recycling and Transfer Fund,5328225
Mobile Source Air Pollution Reduction Fund,5325000
HOME Investment Partnerships Program Fund,5321540
Neighborhood Empowerment Fund,5291545
Residential Development Tax,5280000
El Pueblo Revenue Fund,5276807
Household Hazardous Waste Special Fund,5275048
Landfill Maintenance Special Fund,5240480
Transfer from Telecommunications Dev. Account,5223022
Transfer from Telecommunications Dev. Account,5220000
Street Lighting Maintenance Asmt. Fund,5121922
Arts Development Fee Trust Fund,5107265
Transfer from Telecommunications Dev. Account,5077022
Special Parking Revenue Fund,5068039
Supplemental Law Enforcement Services,5060000
Fines--State Vehicle Code,5054000
Supplemental Law Enforcement Services,5051500
Street Damage Restoration Fee Fund,5047995
Residential Development Tax,5020000
HOME Investment Partnerships Program Fund,5018122
Rent Stabilization Trust Fund,5016961
Convention Center Revenue Fund,5000000
Convention Center Revenue Fund,5000000
Convention Center Revenue Fund,4999862
Landfill Maintenance Special Fund,4935261
