2026 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H1611 ,Mass General Brigham Health Plan ,"MASS GENERAL BRIGHAM HEALTH PLAN, INC ",Mass General Brigham Incorporated ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1619 ,Jefferson Health Plans ,PARTNERS INSURANCE COMPANY INC ,Thomas Jefferson University ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1644 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF FLORIDA, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1651 ,"Medical Associates Health Plan, Inc. ","MEDICAL ASSOCIATES HEALTH PLAN, INC. ","Medical Associates Clinic, P.C. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1659 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1664 ,Wellcare By Allwell ,"HOME STATE HEALTH PLAN, INC. ",Centene Corporation ,17%,21%,17%,Not Available ,18%
H1666 ,"Blue Cross and Blue Shield of NM, TX ",HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,Not Available ,21%,33%,Not Available ,16%
H1671 ,Community Health Plan of Imperial Valley ,IMPERIAL COUNTY LOCAL HEALTH AUTHORITY ,IMPERIAL COUNTY LOCAL HEALTH AUTHORITY ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1692 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC. ",CVS Health Corporation ,11%,13%,17%,Not Available ,11%
H1722 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1787 ,Great Plains Medicare Advantage ,SANFORD HEALTH PLAN ,Sanford Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1799 ,Passport Advantage ,"MOLINA HEALTHCARE OF KENTUCKY, INC. ","Molina Healthcare, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1822 ,SCAN Health Plan ,"SCAN DESERT HEALTH PLAN, INC. ",SCAN Group ,34%,42%,11%,8%,20%
H1846 ,MediGold ,MOUNT CARMEL HEALTH INSURANCE COMPANY ,Trinity Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1862 ,Wellcare ,"WELLCARE HEALTH PLANS OF VERMONT, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1889 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",8%,20%,13%,3%,10%
H1894 ,Wellpoint ,"WELLPOINT WASHINGTON, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1914 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF CONNECTICUT, INC. ",Centene Corporation ,Not Available ,14%,20%,Not Available ,18%
H1947 ,Healthy Blue ,"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1951 ,Humana ,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC. ",Humana Inc. ,14%,18%,21%,Not Available ,8%
H1961 ,Peoples Health ,"PEOPLES HEALTH, INC. ","UnitedHealth Group, Inc. ",13%,18%,12%,7%,11%
H1969 ,Regence BlueShield of Idaho ,"REGENCE BLUESHIELD OF IDAHO, INC. ","Cambia Health Solutions, Inc. ",31%,20%,21%,Not Available ,8%
H1993 ,Astiva Health ,"ASTIVA HEALTH, INC. ",Astiva Health Holdings Incorporated ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1994 ,Select Health ,"SELECTHEALTH, INC. ","Intermountain Health Care, Inc. ",11%,48%,15%,Not Available ,10%
H1997 ,Regence BlueShield ,REGENCE BLUESHIELD ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2001 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",14%,13%,21%,Not Available ,9%
H2029 ,Humana ,"HUMANA INSURANCE OF PUERTO RICO, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2032 ,Baylor Scott & White Health Plan ,Baylor Scott & White Insurance Company ,Baylor Scott & White Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2034 ,Community Care ,"COMMUNITY CARE HEALTH PLAN, INC. ","Community Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2035 ,Alameda Alliance for Health ,ALAMEDA ALLIANCE FOR HEALTH ,Alameda Alliance for Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2041 ,Devoted Health ,DEVOTED HEALTH PLAN OF MISSOURI INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H2056 ,Aetna Medicare ,AETNA BETTER HEALTH OF MICHIGAN INC. ,CVS Health Corporation ,12%,23%,20%,7%,10%
H2108 ,Cigna HealthCare ,"BRAVO HEALTH MID-ATLANTIC, INC. ",Health Care Service Corporation ,29%,47%,21%,Not Available ,19%
H2117 ,Wellcare ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Centene Corporation ,30%,44%,14%,17%,17%
