Month,Measure Category,Measure Type,Age Group,Count
202309,Utilization,Outpatient Visits,Ages 19-39,"2,995,055"
202309,Utilization,Prescriptions,Ages 19-39,"2,034,408"
202309,Eligibility,Member Months,Ages 40-64,"3,250,259"
202309,New Enrollments,New Enrollments,Ages 40-64,0
202309,State Fair Hearings,State Fair Hearings,Ages 40-64,89
202309,Utilization,Emergency Room Visits,Ages 40-64,"179,707"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"19,688"
202309,Utilization,Inpatient Admissions,Ages 40-64,"43,195"
202309,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"167,435"
202309,Utilization,Outpatient Visits,Ages 40-64,"4,395,573"
202309,Utilization,Prescriptions,Ages 40-64,"4,654,322"
202309,Eligibility,Member Months,Ages 65+,"1,522,078"
202309,New Enrollments,New Enrollments,Ages 65+,0
202309,State Fair Hearings,State Fair Hearings,Ages 65+,25
202309,Utilization,Emergency Room Visits,Ages 65+,"63,247"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"11,272"
202309,Utilization,Inpatient Admissions,Ages 65+,"58,769"
202309,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"24,471"
202309,Utilization,Outpatient Visits,Ages 65+,"2,975,418"
202309,Utilization,Prescriptions,Ages 65+,"1,048,939"
202310,Eligibility,Member Months,Ages 0-18,"4,836,565"
202310,New Enrollments,New Enrollments,Ages 0-18,0
202310,State Fair Hearings,State Fair Hearings,Ages 0-18,20
202310,Utilization,Emergency Room Visits,Ages 0-18,"163,033"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"4,434"
202310,Utilization,Inpatient Admissions,Ages 0-18,"9,959"
202310,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"130,765"
202310,Utilization,Outpatient Visits,Ages 0-18,"3,432,316"
202310,Utilization,Prescriptions,Ages 0-18,"1,399,416"
202310,Eligibility,Member Months,Ages 19-39,"4,203,442"
202310,New Enrollments,New Enrollments,Ages 19-39,0
202310,State Fair Hearings,State Fair Hearings,Ages 19-39,52
202310,Utilization,Emergency Room Visits,Ages 19-39,"185,591"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"10,954"
202310,Utilization,Inpatient Admissions,Ages 19-39,"32,793"
202310,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"251,306"
202310,Utilization,Outpatient Visits,Ages 19-39,"3,058,023"
202310,Utilization,Prescriptions,Ages 19-39,"2,138,342"
202310,Eligibility,Member Months,Ages 40-64,"3,219,106"
202310,New Enrollments,New Enrollments,Ages 40-64,0
202310,State Fair Hearings,State Fair Hearings,Ages 40-64,72
202310,Utilization,Emergency Room Visits,Ages 40-64,"178,599"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"19,833"
202310,Utilization,Inpatient Admissions,Ages 40-64,"43,506"
202310,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"173,926"
202310,Utilization,Outpatient Visits,Ages 40-64,"4,599,430"
202310,Utilization,Prescriptions,Ages 40-64,"4,934,191"
202310,Eligibility,Member Months,Ages 65+,"1,516,763"
202310,New Enrollments,New Enrollments,Ages 65+,0
202310,State Fair Hearings,State Fair Hearings,Ages 65+,20
202310,Utilization,Emergency Room Visits,Ages 65+,"59,945"
202310,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"10,876"
202310,Utilization,Inpatient Admissions,Ages 65+,"56,896"
202310,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"25,695"
202310,Utilization,Outpatient Visits,Ages 65+,"3,091,172"
202310,Utilization,Prescriptions,Ages 65+,"1,114,380"
202311,Eligibility,Member Months,Ages 0-18,"4,799,115"
202311,New Enrollments,New Enrollments,Ages 0-18,0
202311,State Fair Hearings,State Fair Hearings,Ages 0-18,9
202311,Utilization,Emergency Room Visits,Ages 0-18,"164,495"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"4,421"
202311,Utilization,Inpatient Admissions,Ages 0-18,"8,419"
202311,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"104,514"
202311,Utilization,Outpatient Visits,Ages 0-18,"3,046,480"
202311,Utilization,Prescriptions,Ages 0-18,"1,477,340"
202311,Eligibility,Member Months,Ages 19-39,"4,133,828"
202311,New Enrollments,New Enrollments,Ages 19-39,0
202311,State Fair Hearings,State Fair Hearings,Ages 19-39,25
202311,Utilization,Emergency Room Visits,Ages 19-39,"171,986"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"9,510"
202311,Utilization,Inpatient Admissions,Ages 19-39,"28,236"
202311,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"225,692"
202311,Utilization,Outpatient Visits,Ages 19-39,"2,736,917"
202311,Utilization,Prescriptions,Ages 19-39,"2,069,746"
202311,Eligibility,Member Months,Ages 40-64,"3,180,879"
202311,New Enrollments,New Enrollments,Ages 40-64,0
202311,State Fair Hearings,State Fair Hearings,Ages 40-64,62
202311,Utilization,Emergency Room Visits,Ages 40-64,"162,327"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"17,746"
202311,Utilization,Inpatient Admissions,Ages 40-64,"38,330"
202311,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"156,953"
202311,Utilization,Outpatient Visits,Ages 40-64,"4,122,914"
202311,Utilization,Prescriptions,Ages 40-64,"4,718,492"
202311,Eligibility,Member Months,Ages 65+,"1,510,789"
202311,New Enrollments,New Enrollments,Ages 65+,0
202311,State Fair Hearings,State Fair Hearings,Ages 65+,24
202311,Utilization,Emergency Room Visits,Ages 65+,"50,796"
202311,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"9,381"
202311,Utilization,Inpatient Admissions,Ages 65+,"50,562"
202311,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"21,510"
202311,Utilization,Outpatient Visits,Ages 65+,"2,827,614"
202311,Utilization,Prescriptions,Ages 65+,"1,092,812"
202312,Eligibility,Member Months,Ages 0-18,"4,762,172"
202312,New Enrollments,New Enrollments,Ages 0-18,0
202312,State Fair Hearings,State Fair Hearings,Ages 0-18,13
202312,Utilization,Emergency Room Visits,Ages 0-18,"154,606"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"3,714"
202312,Utilization,Inpatient Admissions,Ages 0-18,"6,951"
202312,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"79,866"
202312,Utilization,Outpatient Visits,Ages 0-18,"2,500,525"
202312,Utilization,Prescriptions,Ages 0-18,"1,514,071"
202312,Eligibility,Member Months,Ages 19-39,"4,068,125"
202312,New Enrollments,New Enrollments,Ages 19-39,0
202312,State Fair Hearings,State Fair Hearings,Ages 19-39,21
202312,Utilization,Emergency Room Visits,Ages 19-39,"152,814"
202312,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"7,375"
202312,Utilization,Inpatient Admissions,Ages 19-39,"22,387"
202312,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"176,091"
202312,Utilization,Outpatient Visits,Ages 19-39,"2,282,552"
202312,Utilization,Prescriptions,Ages 19-39,"2,044,709"
202312,Eligibility,Member Months,Ages 40-64,"3,144,346"
202312,New Enrollments,New Enrollments,Ages 40-64,0
202312,State Fair Hearings,State Fair Hearings,Ages 40-64,62
