HEDIS Reporting Year,Reporting Unit,AQFS
2023,Anthem - Region 2,44.67%
2023,Anthem - Sacramento,50.67%
2023,Anthem - San Benito,66.67%
2023,Anthem - San Francisco,55.33%
2023,Anthem - Santa Clara,54.00%
2023,Anthem - Tulare,73.33%
2023,Blue Shield - San Diego,63.33%
2023,CalOptima - Orange,73.33%
2023,CalViva - Fresno,53.33%
2023,CalViva - Kings,62.67%
2023,CalViva - Madera,77.33%
2023,CCAH - Merced,51.33%
2023,CCAH - Monterey/Santa Cruz,90.00%
2023,CCHP - Contra Costa,81.33%
2023,CenCal - San Luis Obispo,74.00%
2023,CenCal - Santa Barbara,79.33%
2023,CH&W - Imperial,66.67%
2023,CH&W - Region 1,56.00%
2023,CH&W - Region 2,44.00%
2023,CHG - San Diego,66.43%
2023,GCHP - Ventura,60.67%
2023,Health Net - Kern,29.33%
2023,Health Net - Los Angeles,52.00%
2023,Health Net - Sacramento,52.00%
2023,Health Net - San Diego,52.00%
2023,Health Net - San Joaquin,32.67%
2023,Health Net - Stanislaus,28.67%
2023,Health Net - Tulare,72.67%
2023,HPSJ - San Joaquin,52.67%
2023,HPSJ - Stanislaus,40.00%
2023,HPSM - San Mateo,80.00%
2023,IEHP - Riverside/San Bernardino,62.67%
2023,Kaiser - KP North,84.67%
2023,Kaiser - San Diego,85.33%
2023,Kern - Kern,43.33%
2023,LA Care - Los Angeles,59.33%
2023,Molina - Imperial,48.67%
2023,Molina - Riverside/San Bernardino,28.00%
2023,Molina - Sacramento,42.67%
2023,Molina - San Diego,63.33%
2023,Partnership - Northeast,40.67%
2023,Partnership - Northwest,45.33%
2023,Partnership - Southeast,62.00%
2023,Partnership - Southwest,68.00%
2023,SCFHP - Santa Clara,73.33%
2023,SFHP - San Francisco,80.00%
2023,United - San Diego,26.67%
