Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/22-12/22,2022,GMC,San Diego,Community Health Group,Community Health Group,Behavioral Health Treatment 0-6,2241.09,2315.8,2393.49
1/22-12/22,2022,GMC,San Diego,Community Health Group,Community Health Group,Behavioral Health Treatment 7-20,1874.86,1937.36,2002.36
1/22-12/22,2022,GMC,San Diego,Health Net of California,Health Net,Child,79.83,83.53,87.44
1/22-12/22,2022,GMC,San Diego,Health Net of California,Health Net,Adult,190.69,197.68,205.02
1/22-12/22,2022,GMC,San Diego,Health Net of California,Health Net,ACA Optional Expansion,238.31,246.68,255.44
1/22-12/22,2022,GMC,San Diego,Health Net of California,Health Net,SPD,618.56,638.23,658.76
1/22-12/22,2022,GMC,San Diego,Health Net of California,Health Net,SPD/Full-Dual (Non-CCI),140.24,145.25,150.51
1/22-12/22,2022,GMC,San Diego,Health Net of California,Health Net,Maternity,7742.95,7980.94,8227.97
1/22-12/22,2022,GMC,San Diego,Health Net of California,Health Net,Behavioral Health Treatment 0-6,2564.95,2650.47,2739.38
1/22-12/22,2022,GMC,San Diego,Health Net of California,Health Net,Behavioral Health Treatment 7-20,2210.48,2284.18,2360.81
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Kaiser Permanente,Child,86.79,90.82,95.09
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Kaiser Permanente,Adult,255.82,265.15,274.94
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Kaiser Permanente,ACA Optional Expansion,310.45,321.36,332.8
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Kaiser Permanente,SPD,634.1,654.4,675.59
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Kaiser Permanente,SPD/Full-Dual (Non-CCI),132.11,137.27,142.71
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Kaiser Permanente,Maternity,7742.95,7980.94,8227.97
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Kaiser Permanente,Behavioral Health Treatment 0-6,3073.93,3176.41,3282.97
1/22-12/22,2022,GMC,San Diego,Kaiser Foundation HP,Kaiser Permanente,Behavioral Health Treatment 7-20,2154.45,2226.27,2300.96
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Molina Healthcare,Child,80.88,84.71,88.77
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Molina Healthcare,Adult,241.63,250.5,259.81
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Molina Healthcare,ACA Optional Expansion,295.81,306.24,317.17
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Molina Healthcare,SPD,796.23,821.63,848.14
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Molina Healthcare,SPD/Full-Dual (Non-CCI),155.49,161.36,167.55
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Molina Healthcare,Maternity,7742.95,7980.94,8227.97
1/22-12/22,2022,GMC,San Diego,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 0-6,2299.39,2376.05,2455.76
