Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
01/2022-6/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Non-Dual,8557.1,8990.46,9461.45,10664.4
01/2022-6/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Full-Dual,6026.98,6330.07,6659.45,6296.1
01/2022-6/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Non-Dual,8557.1,8990.46,9461.45,10336.33
01/2022-6/2022,2022,PACE,Fresno,Innovative Integrated Health,Innovative Integrated Health,Full-Dual,3669.64,3845.04,4035.6,5596.4
01/2022-6/2022,2022,PACE,Fresno,Innovative Integrated Health,Innovative Integrated Health,Non-Dual,4936.97,5177.66,5439.18,9160.69
01/2022-6/2022,2022,PACE,San Bernardino,InnovAge,InnovAge,Full-Dual,4099.32,4307.54,4533.83,5164.21
01/2022-6/2022,2022,PACE,San Bernardino,InnovAge,InnovAge,Non-Dual,7504.08,7886.88,8302.94,9851.4
01/2022-6/2022,2022,PACE,Riverside,InnovAge,InnovAge,Full-Dual,4099.32,4307.54,4533.83,5164.21
01/2022-6/2022,2022,PACE,Riverside,InnovAge,InnovAge,Non-Dual,7504.08,7886.88,8302.94,9851.4
01/2022-6/2022,2022,PACE,Alameda,On Lok Lifeways,On Lok Lifeways,Full-Dual,6448.13,6762.94,7105.01,6857.71
01/2022-6/2022,2022,PACE,Alameda,On Lok Lifeways,On Lok Lifeways,Non-Dual,7342.88,7712.66,8114.55,10664.4
01/2022-6/2022,2022,PACE,Santa Clara,On Lok Lifeways,On Lok Lifeways,Full-Dual,6288.97,6597.72,6933.21,6572.52
01/2022-6/2022,2022,PACE,Santa Clara,On Lok Lifeways,On Lok Lifeways,Non-Dual,7907.35,8304.77,8736.67,10216.69
01/2022-6/2022,2022,PACE,San Francisco,On Lok Lifeways,On Lok Lifeways,Full-Dual,8156.64,8546.29,8969.63,8796.24
01/2022-6/2022,2022,PACE,San Francisco,On Lok Lifeways,On Lok Lifeways,Non-Dual,9001.79,9446.74,9930.25,12944.28
01/2022-6/2022,2022,PACE,Humboldt,Redwood Coast,Redwood Coast,Full-Dual,5528.2,5791.1,6076.72,7012.14
01/2022-6/2022,2022,PACE,Humboldt,Redwood Coast,Redwood Coast,Non-Dual,8274.66,8679.02,9118.4,11259.95
01/2022-6/2022,2022,PACE,San Diego,San Diego PACE,San Diego PACE,Full-Dual,4185.56,4388.69,4609.4,5566.11
01/2022-6/2022,2022,PACE,San Diego,San Diego PACE,San Diego PACE,Non-Dual,6678.3,7010.42,7371.34,9338.05
01/2022-6/2022,2022,PACE,San Diego,St. Paul's PACE,St. Paul's PACE,Full-Dual,3620.21,3798.07,3991.34,5566.11
01/2022-6/2022,2022,PACE,San Diego,St. Paul's PACE,St. Paul's PACE,Non-Dual,5704.84,5992.21,6304.54,9338.05
01/2022-6/2022,2022,PACE,Sacramento,Sutter Senior Care,Sutter Senior Care,Full-Dual,5699.95,5975.57,6275.04,6302.35
01/2022-6/2022,2022,PACE,Sacramento,Sutter Senior Care,Sutter Senior Care,Non-Dual,8010.56,8406.44,8836.63,9638.42
07/2022-12/2022,2022,PACE,Los Angeles,AltaMed Senior Care,AltaMed Senior Care,Full-Dual,4197.13,4397.54,4615.28,6422.25
07/2022-12/2022,2022,PACE,Los Angeles,AltaMed Senior Care,AltaMed Senior Care,Non-Dual,6339.12,6649.39,6986.54,9413.8
