Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Child,70.91,73.78,76.83
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Health Homes Non-Dual,233.55,241.47,250.09
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Health Homes Dual,76.41,78.81,81.41
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,Maternity,6853.9,7063.94,7281.92
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,SPD,709.53,727.17,745.57
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Molina Healthcare,SPD Dual,113.22,117.05,121.08
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Adult,297.35,306.53,316.17
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,347.85,357.94,368.53
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 0-6,3156.06,3244.8,3336.74
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 7-20,2299.39,2364.04,2431.03
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Child,97.91,102.2,106.75
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Health Homes Non-Dual,189.06,195.29,202.07
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Health Homes Dual,61.57,63.46,65.51
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,Maternity,8401.59,8659.04,8926.22
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,SPD,959.5,984.69,1010.99
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,394.09,407.79,422.15
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,San Francisco Health Plan,Adult,289.13,297.81,306.92
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,San Francisco Health Plan,Adult Expansion,380.71,391.65,403.13
