Year,Plan,Region,Reporting Unit,AQFS
2023,CHG,San Diego,CHG - San Diego,66.43
2023,GCHP,Ventura,GCHP - Ventura,60.67
2023,Health Net,Kern,Health Net - Kern,29.33
2023,Health Net,Los Angeles,Health Net - Los Angeles,52.0
2023,Health Net,Sacramento,Health Net - Sacramento,52.0
2023,Health Net,San Diego,Health Net - San Diego,52.0
2023,Health Net,San Joaquin,Health Net - San Joaquin,32.67
2023,Health Net,Stanislaus,Health Net - Stanislaus,28.67
2023,Health Net,Tulare,Health Net - Tulare,72.67
2023,HPSJ,San Joaquin,HPSJ - San Joaquin,52.67
2023,HPSJ,Stanislaus,HPSJ - Stanislaus,40.0
2023,HPSM,San Mateo,HPSM - San Mateo,80.0
2023,IEHP,Riverside/San Bernardino,IEHP - Riverside/San Bernardino,62.67
2023,Kaiser,KP North,Kaiser - KP North,84.67
2023,Kaiser,San Diego,Kaiser - San Diego,85.33
2023,Kern,Kern,Kern - Kern,43.33
2023,LA Care,Los Angeles,LA Care - Los Angeles,59.33
2023,Molina,Imperial,Molina - Imperial,48.67
2023,Molina,Riverside/San Bernardino,Molina - Riverside/San Bernardino,28.0
2023,Molina,Sacramento,Molina - Sacramento,42.67
2023,Molina,San Diego,Molina - San Diego,63.33
2023,Partnership,Northeast,Partnership - Northeast,40.67
2023,Partnership,Northwest,Partnership - Northwest,45.33
2023,Partnership,Southeast,Partnership - Southeast,62.0
2023,Partnership,Southwest,Partnership - Southwest,68.0
2023,SCFHP,Santa Clara,SCFHP - Santa Clara,73.33
2023,SFHP,San Francisco,SFHP - San Francisco,80.0
2023,United,San Diego,United - San Diego,26.67
2016,Statewide Average,All California,Statewide Average,55.455
2017,Statewide Average,All California,Statewide Average,61.632
2018,Statewide Average,All California,Statewide Average,63.818
2019,Statewide Average,All California,Statewide Average,61.976
2020,Statewide Average,All California,Statewide Average,62.67
2021,Statewide Average,All California,Statewide Average,54.951
2022,Statewide Average,All California,Statewide Average,60.464
2023,Statewide Average,All California,Statewide Average,57.412
