Month,Measure Category,Measure Type,Population Type,Count
202308,Utilization,Outpatient Visits,MO-ACA,"4,025,251"
202308,Utilization,Prescriptions,MO-ACA,"4,082,914"
202308,Eligibility,Member Months,MO-Other,"5,780,500"
202308,New Enrollments,New Enrollments,MO-Other,0
202308,State Fair Hearings,State Fair Hearings,MO-Other,26
202308,Utilization,Emergency Room Visits,MO-Other,"228,703"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"9,977"
202308,Utilization,Inpatient Admissions,MO-Other,"31,654"
202308,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"220,966"
202308,Utilization,Outpatient Visits,MO-Other,"4,381,949"
202308,Utilization,Prescriptions,MO-Other,"2,592,765"
202308,Eligibility,Member Months,MO-OTLIC,"1,255,211"
202308,New Enrollments,New Enrollments,MO-OTLIC,0
202308,State Fair Hearings,State Fair Hearings,MO-OTLIC,2
202308,Utilization,Emergency Room Visits,MO-OTLIC,"27,527"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,780
202308,Utilization,Inpatient Admissions,MO-OTLIC,"2,100"
202308,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"43,792"
202308,Utilization,Outpatient Visits,MO-OTLIC,"691,908"
202308,Utilization,Prescriptions,MO-OTLIC,"297,728"
202308,Eligibility,Member Months,MO-SPD,"689,175"
202308,New Enrollments,New Enrollments,MO-SPD,0
202308,State Fair Hearings,State Fair Hearings,MO-SPD,45
202308,Utilization,Emergency Room Visits,MO-SPD,"58,769"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"8,859"
202308,Utilization,Inpatient Admissions,MO-SPD,"19,600"
202308,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"51,585"
202308,Utilization,Outpatient Visits,MO-SPD,"2,030,791"
202308,Utilization,Prescriptions,MO-SPD,"1,843,573"
202309,Eligibility,Member Months,Dual,"1,642,585"
202309,New Enrollments,New Enrollments,Dual,0
202309,State Fair Hearings,State Fair Hearings,Dual,36
202309,Utilization,Emergency Room Visits,Dual,"78,071"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"12,088"
202309,Utilization,Inpatient Admissions,Dual,"64,773"
202309,Utilization,Mild to Moderate Mental Health Visits,Dual,"52,922"
202309,Utilization,Outpatient Visits,Dual,"3,393,117"
202309,Utilization,Prescriptions,Dual,"695,141"
202309,Eligibility,Member Months,Invalid,0
202309,New Enrollments,New Enrollments,Invalid,0
202309,State Fair Hearings,State Fair Hearings,Invalid,0
202309,Utilization,Emergency Room Visits,Invalid,0
202309,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202309,Utilization,Inpatient Admissions,Invalid,0
202309,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202309,Utilization,Outpatient Visits,Invalid,0
202309,Utilization,Prescriptions,Invalid,0
202309,Eligibility,Member Months,MO-ACA,"4,624,886"
202309,New Enrollments,New Enrollments,MO-ACA,0
202309,State Fair Hearings,State Fair Hearings,MO-ACA,60
202309,Utilization,Emergency Room Visits,MO-ACA,"196,669"
202309,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"15,700"
202309,Utilization,Inpatient Admissions,MO-ACA,"31,385"
