PlayerID,ShortName,Team,Position,Position Title,Height_in,Weight_lbs,PhotoUrl,target
18124,K.Grugier-Hill,MIA,OLB,Outside Linebacker,74,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18124.png,0
19273,E.Wilson,MIN,OLB,Outside Linebacker,73,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19273.png,0
16496,A.Barr,MIN,OLB,Outside Linebacker,77,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16496.png,0
21040,J.Brailford,MIN,OLB,Outside Linebacker,75,252,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,0
15423,B.Copeland,NE,OLB,Outside Linebacker,75,263,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15423.png,0
14711,C.Robertson,NO,OLB,Outside Linebacker,73,234,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/14711.png,0
21134,K.Elliss,NO,OLB,Outside Linebacker,75,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21134.png,0
13810,D.Davis,NO,OLB,Outside Linebacker,74,248,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13810.png,0
16885,K.Alexander,NO,OLB,Outside Linebacker,73,227,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16885.png,0
22198,M.Willoughby,NO,OLB,Outside Linebacker,75,252,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,0
18016,K.Fackrell,NYG,OLB,Outside Linebacker,77,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18016.png,0
20036,D.Downs,NYG,OLB,Outside Linebacker,74,252,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20036.png,0
21000,O.Ximines,NYG,OLB,Outside Linebacker,76,252,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21000.png,0
16929,D.Mayo,NYG,OLB,Outside Linebacker,74,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16929.png,0
19886,L.Carter,NYG,OLB,Outside Linebacker,77,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19886.png,0
20516,T.Harris,NYG,OLB,Outside Linebacker,74,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20516.png,0
22197,J.Daka,NYJ,OLB,Outside Linebacker,74,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,0
19286,H.Langi,NYJ,OLB,Outside Linebacker,74,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19286.png,0
18012,J.Jenkins,NYJ,OLB,Outside Linebacker,75,259,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18012.png,0
20411,F.Luvu,NYJ,OLB,Outside Linebacker,75,236,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20411.png,0
18480,P.Onwuasor,NYJ,OLB,Outside Linebacker,72,227,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18480.png,0
18958,T.Basham,NYJ,OLB,Outside Linebacker,76,266,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18958.png,0
19059,N.Gerry,PHI,OLB,Outside Linebacker,74,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19059.png,0
17085,A.Singleton,PHI,OLB,Outside Linebacker,74,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17085.png,0
18945,D.Riley,PHI,OLB,Outside Linebacker,73,218,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18945.png,0
19805,J.Elliott,PIT,OLB,Outside Linebacker,75,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19805.png,0
19749,C.Kuntz,PIT,OLB,Outside Linebacker,73,227,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19749.png,0
16783,B.Dupree,PIT,OLB,Outside Linebacker,76,269,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16783.png,0
18916,T.Watt,PIT,OLB,Outside Linebacker,76,252,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18916.png,0
20180,O.Adeniyi,PIT,OLB,Outside Linebacker,73,248,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20180.png,0
21354,D.Flannigan-Fowles,SF,OLB,Outside Linebacker,74,209,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21354.png,0
16995,M.Nzeocha,SF,OLB,Outside Linebacker,75,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16995.png,0
20778,D.Greenlaw,SF,OLB,Outside Linebacker,72,227,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20778.png,0
19923,S.Griffin,SEA,OLB,Outside Linebacker,72,227,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19923.png,0
13484,K.Wright,SEA,OLB,Outside Linebacker,76,246,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13484.png,0
14583,B.Irvin,SEA,OLB,Outside Linebacker,75,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/14583.png,0
15827,R.Armstrong,SEA,OLB,Outside Linebacker,75,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15827.png,0
21053,B.Burr-Kirven,SEA,OLB,Outside Linebacker,72,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21053.png,0
19890,R.Green,SEA,OLB,Outside Linebacker,76,279,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19890.png,0
21136,Q.Bell,TB,OLB,Outside Linebacker,76,253,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21136.png,0
16271,S.Barrett,TB,OLB,Outside Linebacker,74,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16271.png,0
12247,J.Pierre-Paul,TB,OLB,Outside Linebacker,77,275,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/12247.png,0
20894,A.Nelson,TB,OLB,Outside Linebacker,79,271,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20894.png,0
12951,B.Reed,TEN,OLB,Outside Linebacker,75,254,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/12951.png,0
