Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,Maternity,6468.24,6651.91,6841.77
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,SPD,954.64,972.96,991.95
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,SPD Dual,236.51,241.89,247.47
1/21-12/21,2021,COHS,San Luis Obispo,CenCal Health,WCM,1970.19,2010.34,2051.83
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,Behavioral Health Treatment 0-6,2717.4,2787.8,2860.44
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,Behavioral Health Treatment 7-20,2024.63,2077.08,2131.2
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,Adult Expansion,392.3,401.08,410.21
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,Adult,320.8,328.77,337.08
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,Child,89.12,92.21,95.45
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,LTC,16244.82,16444.89,16649.98
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,LTC Dual,9376.13,9480.14,9586.5
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,Maternity,9680.41,9955.63,10240.13
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,SPD,1027.57,1049.09,1071.4
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,SPD Dual,311.4,317.88,324.61
1/21-12/21,2021,COHS,San Mateo,Health Plan of San Mateo,WCM,2063.99,2106.05,2149.52
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,Adult Expansion,403.61,413.09,422.94
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,Adult,336.3,344.87,353.78
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,Behavioral Health Treatment 0-6,2261.42,2319.9,2380.26
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,Behavioral Health Treatment 7-20,1766.23,1811.91,1859.05
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,Child,90.81,93.85,97.04
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,LTC,11431.32,11568.05,11708.15
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,LTC Dual,8548.07,8643.58,8741.26
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,Maternity,7128.2,7330.61,7539.83
