Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Adult Expansion,$343.21 ,$353.08 ,$363.41 
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,SPD,$959.99 ,$983.95 ,"$1,008.96 "
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,SPD Dual,$149.68 ,$155.33 ,$161.28 
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Behavioral Health Treatment 0-6,"$2,543.37 ","$2,614.88 ","$2,688.97 "
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Behavioral Health Treatment 7-20,"$2,009.65 ","$2,066.15 ","$2,124.69 "
01/21-12/21,2021,GMC,San Diego,Community Health Group,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,San Diego,Community Health Group,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,San Diego,Community Health Group,Behavioral Health Treatment 0-6,"$2,223.19 ","$2,285.70 ","$2,350.47 "
01/21-12/21,2021,GMC,San Diego,Community Health Group,Behavioral Health Treatment 7-20,"$1,843.32 ","$1,895.15 ","$1,948.85 "
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Health Homes Non-Dual,$419.15 ,$424.48 ,$446.88 
01/21-12/21,2021,GMC,San Diego, Blue Shield Promise Health Plan of California,Health Homes Dual,$112.64 ,$117.51 ,$122.87 
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Child,$75.64 ,$79.34 ,$83.26 
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Adult,$248.99 ,$258.08 ,$267.63 
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,ACA Optional Expansion,$294.47 ,$304.88 ,$315.79 
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,SPD,$768.25 ,$793.05 ,$818.95 
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,SPD/Full-Dual,$172.83 ,$179.17 ,$185.84 
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Maternity,"$9,633.29 ","$9,929.33 ","$10,236.61 "
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Behavioral Health Treatment 0-6,"$4,623.00 ","$4,777.13 ","$4,937.39 "
1/22-12/22,2022,GMC,Sacramento,Anthem Blue Cross,Behavioral Health Treatment 7-20,"$2,498.51 ","$2,581.81 ","$2,668.42 "
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Child,$73.03 ,$76.62 ,$80.43 
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Adult,$256.94 ,$266.34 ,$276.21 
1/22-12/22,2022,GMC,Sacramento,Health Net of California,ACA Optional Expansion,$302.01 ,$312.69 ,$323.89 
1/22-12/22,2022,GMC,Sacramento,Health Net of California,SPD,$849.12 ,$876.56 ,$905.20 
1/22-12/22,2022,GMC,Sacramento,Health Net of California,SPD/Full-Dual,$169.80 ,$176.16 ,$182.85 
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Maternity,"$9,633.29 ","$9,929.33 ","$10,236.61 "
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Behavioral Health Treatment 0-6,"$3,537.32 ","$3,655.25 ","$3,777.88 "
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Behavioral Health Treatment 7-20,"$2,588.16 ","$2,674.44 ","$2,764.17 "
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Child,$82.21 ,$86.09 ,$90.21 
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Adult,$275.36 ,$285.34 ,$295.82 
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,ACA Optional Expansion,$332.11 ,$343.77 ,$355.99 
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,SPD,$662.91 ,$684.36 ,$706.76 
