Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Behavioral Health Treatment 7-20,"1,868.34","1,920.87","1,975.30"
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Child,83.52,86.86,90.4
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Maternity,"6,775.06","6,982.68","7,198.15"
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,SPD,963.79,986.96,"1,011.14"
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,SPD Dual,138.59,143.56,148.79
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Health Homes Non-Dual,190.29,196.62,203.52
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Health Homes Dual,61.89,63.82,65.91
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Adult,192.22,197.83,203.71
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Adult Expansion,262.57,269.79,277.36
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Behavioral Health Treatment 0-6,"2,745.93","2,823.13","2,903.13"
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Behavioral Health Treatment 7-20,"2,039.09","2,096.43","2,155.83"
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Child,72.32,75.21,78.27
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Health Homes Non-Dual,236.83,244.83,253.54
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Health Homes Dual,76.39,78.79,81.39
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Maternity,"6,775.06","6,982.68","7,198.15"
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,SPD,658.52,674.71,691.6
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,SPD Dual,116.03,119.92,124.01
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Adult,298.83,307.27,316.12
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Adult Expansion,374.74,384.91,395.56
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Behavioral Health Treatment 0-6,"2,660.99","2,735.81","2,813.32"
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Behavioral Health Treatment 7-20,"1,889.48","1,942.60","1,997.65"
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Child,85.06,88.51,92.15
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Maternity,"6,853.90","7,063.94","7,281.92"
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,SPD,"1,007.83","1,032.27","1,057.77"
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,SPD Dual,138.06,143.04,148.27
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Health Homes Non-Dual,190.93,197.27,204.18
1/21-12/21,2021,Two-Plan,San Bernardino,Inland Empire Health Plan,Health Homes Dual,62.63,64.57,66.68
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Adult,195.4,201.07,207.02
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Adult Expansion,258.43,265.64,273.18
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Behavioral Health Treatment 0-6,"2,499.45","2,569.73","2,642.54"
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Behavioral Health Treatment 7-20,"1,757.92","1,807.35","1,858.56"
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Child,70.91,73.78,76.83
