Rating Period,Calendar Year,Model,County,PACE Organization,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
01/2022-6/2022,2022,PACE,Los Angeles,AltaMed Senior Care,Non-Dual,"$6,339.12 ","$6,649.39 ","$6,986.54 ","$9,417.40 "
01/2022-6/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Full-Dual,"$4,397.93 ","$4,612.08 ","$4,844.77 ","$6,422.25 "
01/2022-6/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Non-Dual,"$7,049.46 ","$7,401.18 ","$7,783.42 ","$9,417.40 "
01/2022-6/2022,2022,PACE,Orange,CalOptima,Full-Dual,"$3,991.62 ","$4,189.19 ","$4,403.89 ","$5,891.84 "
01/2022-6/2022,2022,PACE,Orange,CalOptima,Non-Dual,"$7,373.11 ","$7,745.13 ","$8,149.45 ","$10,162.78 "
01/2022-6/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Full-Dual,"$6,026.98 ","$6,330.07 ","$6,659.45 ","$6,857.71 "
01/2022-6/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Non-Dual,"$8,557.10 ","$8,990.46 ","$9,461.45 ","$10,664.40 "
01/2022-6/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Full-Dual,"$6,026.98 ","$6,330.07 ","$6,659.45 ","$6,296.10 "
01/2022-6/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Non-Dual,"$8,557.10 ","$8,990.46 ","$9,461.45 ","$10,336.33 "
01/2022-6/2022,2022,PACE,Fresno,Innovative Integrated Health,Full-Dual,"$3,669.64 ","$3,845.04 ","$4,035.60 ","$5,596.40 "
01/2022-6/2022,2022,PACE,Fresno,Innovative Integrated Health,Non-Dual,"$4,936.97 ","$5,177.66 ","$5,439.18 ","$9,160.69 "
01/2022-6/2022,2022,PACE,San Bernardino,InnovAge,Full-Dual,"$4,099.32 ","$4,307.54 ","$4,533.83 ","$5,164.21 "
01/2022-6/2022,2022,PACE,San Bernardino,InnovAge,Non-Dual,"$7,504.08 ","$7,886.88 ","$8,302.94 ","$9,851.40 "
01/2022-6/2022,2022,PACE,Riverside,InnovAge,Full-Dual,"$4,099.32 ","$4,307.54 ","$4,533.83 ","$5,164.21 "
01/2022-6/2022,2022,PACE,Riverside,InnovAge,Non-Dual,"$7,504.08 ","$7,886.88 ","$8,302.94 ","$9,851.40 "
01/2022-6/2022,2022,PACE,Alameda,On Lok Lifeways,Full-Dual,"$6,448.13 ","$6,762.94 ","$7,105.01 ","$6,857.71 "
