2025 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H2172 ,Kaiser Permanente ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,"Kaiser Foundation Health Plan, Inc. ",34%,32%,21%,Not Available ,22%
H2174 ,Wellcare by Trillium ,"TRILLIUM COMMUNITY HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2185 ,Align Senior Care ,"LIFEWORKS ADVANTAGE, LLC ","Curana Health Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2224 ,Senior Whole Health ,"SENIOR WHOLE HEALTH, LLC ","Molina Healthcare, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2225 ,Commonwealth Care Alliance Massachusetts ,"COMMONWEALTH CARE ALLIANCE, INC. ","Commonwealth Care Alliance, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2226 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2230 ,Blue Cross Blue Shield of Massachusetts ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ","Blue Cross and Blue Shield of Massachusetts, Inc. ",14%,18%,20%,Not Available ,8%
H2235 ,BayCare Health Plans ,"BAYCARE SELECT HEALTH PLANS, INC. ","BayCare Health System, Inc. ",21%,28%,23%,7%,11%
H2237 ,iCare ,INDEPENDENT CARE HEALTH PLAN ,Humana Inc. ,15%,25%,12%,Not Available ,16%
H2246 ,Select Health ,"SELECTHEALTH, INC. ","Intermountain Health Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2247 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN, INC. ","UnitedHealth Group, Inc. ",18%,30%,10%,Not Available ,13%
H2256 ,Tufts Health Plan ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,"Point32Health, Inc. ",11%,25%,18%,6%,7%
H2261 ,Blue Cross Blue Shield of Massachusetts ,"BCBS  OF MASSACHUSETTS HMO BLUE, INC. ","Blue Cross and Blue Shield of Massachusetts, Inc. ",8%,15%,18%,Not Available ,6%
H2272 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF NEW ENGLAND, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2292 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2293 ,Aetna Medicare ,SILVERSCRIPT INSURANCE COMPANY ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2320 ,Priority Health Medicare ,PRIORITY HEALTH ,Corewell Health ,8%,9%,22%,4%,6%
H2322 ,HAP Senior Plus (PPO) ,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY ,Henry Ford Health System ,9%,9%,19%,5%,8%
H2354 ,HAP Senior Plus ,HEALTH ALLIANCE PLAN OF MICHIGAN ,Henry Ford Health System ,10%,13%,20%,Not Available ,8%
H2392 ,Kansas Health Advantage ,"KANSAS SUPERIOR SELECT, INC. ",Kansas Superior Select ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2400 ,Signature Advantage (HMO SNP) ,"SIGNATURE ADVANTAGE, LLC ","SA Plan, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2406 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",7%,14%,20%,7%,8%
H2416 ,PrimeWest Health ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Rural MN Health Care Access Initiative ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2417 ,Itasca Medical Care/IMCare Classic ,ITASCA MEDICAL CARE ,Itasca County ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2419 ,South Country Health Alliance ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2422 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H2425 ,Blue Plus ,HMO Minnesota ,"Aware Integrated, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
