2025 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H9630 ,Wellcare by Allwell ,"ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC. ",Centene Corporation ,14%,33%,13%,6%,10%
H9656 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ","Gemstone Holdings, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9678 ,Healthfirst Medicare Plan ,"HEALTHFIRST INSURANCE COMPANY, INC. ","Healthfirst, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9686 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NEVADA, INC. ","Alignment Healthcare USA, LLC ",31%,33%,16%,Not Available ,23%
H9690 ,American Health Advantage of Indiana ,AMERICAN HEALTH PLAN OF INDIANA INC ,Mitchell Family Office ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9699 ,Arkansas Blue Medicare ,"USABLE HMO, INC. ",USAble Mutual Insurance Company ,11%,10%,16%,Not Available ,8%
H9700 ,Devoted Health ,DEVOTED HEALTH PLAN OF NORTH CAROLINA INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9706 ,Blue Cross and Blue Shield of Texas ,HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,31%,42%,21%,17%,23%
H9725 ,Cigna Healthcare ,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC. ",The Cigna Group ,18%,16%,18%,9%,17%
H9730 ,Wellcare ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",Centene Corporation ,14%,22%,16%,Not Available ,16%
H9763 ,Ochsner Health Plan ,"OCHSNER HEALTH PLAN, INC. ",Ochsner Clinic Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9808 ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,"HTA Holdings, LLC ",10%,9%,14%,9%,8%
H9811 ,Wellcare by Allwell ,"MAGNOLIA HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9826 ,Community Health Choice ,"COMMUNITY HEALTH CHOICE TEXAS, INC. ",Harris County Hospital District ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9827 ,Trinity Health Plan New York ,"MOUNT CARMEL HEALTH PLAN OF NEW YORK, INC. ",Trinity Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9834 ,Quartz Medicare Advantage ,QUARTZ HEALTH PLAN MN CORPORATION ,University of Wisconsin Hospitals and Clincs Autho ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9884 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY ,"Devoted Health, Inc. ",15%,46%,10%,Not Available ,9%
H9888 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF ALABAMA INC ,"Devoted Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9900 ,Wellcare ,"WELLCARE OF OKLAHOMA, INC. ",Centene Corporation ,20%,30%,17%,Not Available ,24%
H9904 ,Mass Advantage ,"CENTRAL MASS HEALTH, LLC ",Central Mass Health Holding LLC ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9907 ,Tufts Health Plan ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,"Point32Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9909 ,American Health Advantage of MS ,"AMERICAN HEALTH PLAN OF MS, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9917 ,Align Senior Care ,"ALIGN SENIOR CARE FLORIDA, INC. ","Curana Health Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9942 ,Longevity Health Plan ,LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP ,"Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9946 ,Shared Health Dual Freedom ,"SHARED HEALTH MISSISSIPPI, INC. ",BlueCross BlueShield of Tennessee ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9952 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9955 ,Molina Healthcare of Ohio ,"MOLINA HEALTHCARE OF OHIO, INC. ","Molina Healthcare, Inc. ",13%,31%,13%,Not Available ,12%
H9968 ,American Health Advantage of Pennsylvania ,AMERICAN HEALTH PLAN OF PENNSYLVANIA INC ,Mitchell Family Office ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9986 ,Florida Complete Care ,"HPMP OF FLORIDA, INC. ","Independent Living Systems, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
R0110 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,5%,13%,38%,4%,4%
R0759 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",9%,11%,21%,9%,8%
R1532 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,17%,28%,28%,Not Available ,13%
R2604 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",11%,11%,34%,Not Available ,10%
R3175 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
R3444 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",11%,10%,33%,8%,8%
R4182 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,11%,16%,24%,4%,5%
R4487 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",8%,4%,32%,5%,5%
R5342 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",11%,21%,29%,9%,8%
R5361 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
R5826 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,10%,15%,41%,Not Available ,10%
R5941 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",9%,16%,24%,4%,6%
R6694 ,Aetna Medicare ,AETNA LIFE INSURANCE COMPANY ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
R6801 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",9%,10%,29%,6%,9%
R7220 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,8%,6%,31%,Not Available ,5%
R7444 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",8%,10%,32%,6%,6%
S0262 ,Kaiser Permanente ,KAISER PERMANENTE INSURANCE COMPANY ,"Kaiser Foundation Health Plan, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S0375 ,CareFirst BlueCross BlueShield Group Prescription ,"CAREFIRST ADVANTAGE PPO, INC ","CareFirst, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S0586 ,MVP Health Care ,"MVP HEALTH PLAN, INC. ","MVP Health Care, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S1030 ,BlueRx (PDP) ,BCBS OF ALABAMA & UTIC INSURANCE COMPANY ,BlueCross BlueShield of Alabama ,Not Applicable ,Not Applicable ,59%,Not Available ,4%
S1140 ,Highmark Blue Cross Blue Shield or Highmark Blue S ,Highmark Western and Northeastern New York Inc. ,Highmark Health ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S1822 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S2135 ,Blue Cross Blue Shield Association ,BLUE CROSS BLUE SHIELD ASSOCIATION ,"BlueCross BlueShield Association, Federal Employee ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S2465 ,Optima Medicare ,SENTARA HEALTH PLANS ,Sentara Health Care (SHC) ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S2468 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,Not Applicable ,Not Applicable ,58%,Not Available ,6%
S2893 ,Blue MedicareRx ,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT ,"Elevance Health, Inc. & BCBSMA & BCBSRI & BCBSVT ",Not Applicable ,Not Applicable ,57%,Not Available ,6%
S3285 ,MG Insurance Company ,MG INSURANCE COMPANY ,"MedImpact Holdings, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3389 ,UPMC Health Plan ,"UPMC HEALTH BENEFITS, INC. ",UPMC Health System ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3521 ,"Excellus Health Plan, Inc ","EXCELLUS HEALTH PLAN, INC. ","Lifetime Healthcare, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3875 ,Granite Alliance ,GRANITE ALLIANCE INSURANCE COMPANY ,"Prime Therapeutics, LLC. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3994 ,HMSAs Medicare Rx Plan ,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA) ,Hawaii Medical Service Association ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S4501 ,Pharmacy Benefit Dimensions PDP ,INDEPENDENT HEALTH BENEFITS CORPORATION ,"Independent Health Association, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S4802 ,Wellcare ,"WELLCARE PRESCRIPTION INSURANCE, INC. ",Centene Corporation ,Not Applicable ,Not Applicable ,31%,Not Available ,8%
S4983 ,Kaiser Permanente ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON OPTION ,"Kaiser Foundation Health Plan, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S5450 ,BlueScripts ,"SECURITYCARE OF TENNESSEE, INC. ",BlueCross BlueShield of Tennessee ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5540 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,Not Applicable ,Not Applicable ,55%,Not Available ,Not Available
S5552 ,Humana ,HUMANA INSURANCE COMPANY OF NEW YORK ,Humana Inc. ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5584 ,Blue Cross Blue Shield of Michigan ,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Not Applicable ,Not Applicable ,54%,Not Available ,6%
S5588 ,Paramount Prescription Drug Plan ,PARAMOUNT INSURANCE COMPANY ,MEDICAL MUTUAL OF OHIO ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5593 ,Highmark Blue Shield ,HM HEALTH INSURANCE COMPANY ,Highmark Health ,Not Applicable ,Not Applicable ,58%,Not Available ,4%
S5596 ,Anthem / Anthem or Blue KC in Missouri ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",Not Applicable ,Not Applicable ,54%,15%,Not Available
S5601 ,Aetna Medicare ,SILVERSCRIPT INSURANCE COMPANY ,CVS Health Corporation ,Not Applicable ,Not Applicable ,50%,Not Available ,6%
S5609 ,Asuris Northwest Health ,ASURIS NORTHWEST HEALTH ,"Cambia Health Solutions, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5617 ,Cigna Healthcare ,MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY ,The Cigna Group ,Not Applicable ,Not Applicable ,48%,Not Available ,Not Available
S5660 ,Express Scripts Medicare ,MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY ,The Cigna Group ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5715 ,"Blue Cross and Blue Shield of IL, NM, OK, TX ",HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,Not Applicable ,Not Applicable ,49%,Not Available ,Not Available
S5726 ,Blue Cross and Blue Shield of Kansas or Blue KC ,BLUE CROSS AND BLUE SHIELD OF KANSAS ,Blue Cross Blue Shield of Kansas ,Not Applicable ,Not Applicable ,57%,Not Available ,3%
S5743 ,MedicareBlue Rx ,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY ","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD ",Not Applicable ,Not Applicable ,52%,Not Available ,4%
S5795 ,Arkansas Blue Medicare ,USABLE MUTUAL INSURANCE COMPANY ,USAble Mutual Insurance Company ,Not Applicable ,Not Applicable ,46%,Not Available ,3%
S5805 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK ,"UnitedHealth Group, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5820 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Applicable ,Not Applicable ,57%,Not Available ,6%
S5857 ,Priority Health Medicare ,PRIORITY HEALTH INSURANCE COMPANY ,Corewell Health ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5877 ,EMI Health ,EDUCATORS MUTUAL INSURANCE ASSOCIATION ,Educators Mutual Insurance Association ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5884 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,Not Applicable ,Not Applicable ,50%,Not Available ,5%
S5904 ,Florida Blue ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Guidewell Mutual Holding Corporation ,Not Applicable ,Not Applicable ,58%,15%,8%
S5916 ,Regence BlueShield of Idaho and Regence BC BS Utah ,REGENCE BLUESHIELD OF IDAHO AND REGENCE BC BS UTAH ,"Cambia Health Solutions, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5921 ,UnitedHealthcare ,UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY ,"UnitedHealth Group, Inc. ",Not Applicable ,Not Applicable ,54%,Not Available ,Not Available
S5953 ,Blue Cross Blue Shield of South Carolina ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,BlueCross BlueShield of South Carolina (BCBSSC) ,Not Applicable ,Not Applicable ,62%,7%,2%
S5960 ,Wellpoint ,WELLPOINT LIFE AND HEALTH INSURANCE COMPANY ,"Elevance Health, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5966 ,EmblemHealth ,"EMBLEMHEALTH PLAN, INC ","EmblemHealth, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5975 ,"Moda Health Plan, Inc. ","MODA HEALTH PLAN, INC. ","Moda Partners, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5993 ,Horizon Blue Cross Blue Shield of New Jersey ,HORIZON INSURANCE COMPANY ,"Horizon Mutual Holdings, Inc ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S6875 ,Independence Blue Cross ,QCC INSURANCE COMPANY ,"Independence Health Group, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S6946 ,Clear Spring Health ,CLEAR SPRING HEALTH INSURANCE COMPANY ,Group 1001 ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S8067 ,Avalon Insurance Company ,Avalon Insurance Company ,CAPITAL BLUE CROSS ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S8841 ,"Optum Insurance of Ohio, Inc. ","OPTUM INSURANCE OF OHIO, INC. ","UnitedHealth Group, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S9701 ,Navitus MedicareRx ,"DEAN HEALTH INSURANCE, INC. ",Medica Holding Company ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
