2025 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3979 ,Local CCP ,"GHS HEALTH MAINTENANCE ORGANIZATION, INC. ",Blue Cross and Blue Shield of Oklahoma ,Health Care Service Corporation ,3,3,4,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4003 ,Local CCP ,"MMM HEALTHCARE, LLC ",Medicare y Mucho Mas ,"Elevance Health, Inc. ",4,4,3,4,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4004 ,Local CCP ,"MMM HEALTHCARE, LLC ",PMC Medicare Choice ,"Elevance Health, Inc. ",4,4,3,3,5,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4005 ,Local CCP ,"TRIPLE S ADVANTAGE, INC. ",Triple-S Advantage ,Guidewell Mutual Holding Corporation ,4,3,3,5,Not enough data available ,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4007 ,Local CCP ,"HUMANA HEALTH PLANS OF PUERTO RICO, INC. ",Humana ,Humana Inc. ,4,4,4,3,4,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4036 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",4,3,3,5,5,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4045 ,Local CCP ,SANTA CLARA COUNTY HEALTH AUTHORITY ,Santa Clara Family Health Plan ,SANTA CLARA COUNTY HEALTH AUTHORITY ,4,3,1,5,3,3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4054 ,Local CCP ,"PROVIDER PARTNERS HEALTH PLAN OF TEXAS, INC. ",Provider Partners Health Plans ,"Rifkin Managed Care Holding, LLC ",Not enough data available ,3,Not enough data available ,4,2,3,4,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4073 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC. ",Wellcare ,Centene Corporation ,3,3,Not enough data available ,3,5,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4091 ,Local CCP ,"SIMPRA ADVANTAGE, INC. ",Simpra Advantage ,"Associated Care Ventures, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,3,5,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4093 ,Local CCP ,"PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC ",Provider Partners Health Plans ,"Rifkin Managed Care Holding, LLC ",Not enough data available ,4,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4140 ,Local CCP ,"DOCTORS HEALTHCARE PLANS, INC. ","Doctors HealthCare Plans, Inc. ","DOCTORS HEALTHCARE PLANS, INC. ",4,4,5,4,4,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4141 ,Local CCP ,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC. ",Humana ,Humana Inc. ,4,4,4,3,4,4,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4152 ,Local CCP ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,Blue Cross & Blue Shield of Rhode Island ,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4161 ,Local CCP ,"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC. ",Anthem Blue Cross Partnership Plan ,"Elevance Health, Inc. ",3,3,Plan too new to be measured ,3,4,5,3,Plan too new to be measured ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4172 ,Local CCP ,"NHC ADVANTAGE, LLC ",NHC Advantage ,"Missouri Healthcare Advisors, LLC ",Not enough data available ,4,Not enough data available ,4,Not enough data available ,4,4,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4213 ,PFFS ,USABLE MUTUAL INSURANCE COMPANY ,Arkansas Blue Medicare ,USAble Mutual Insurance Company ,2,2,4,4,4,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4227 ,Local CCP ,"VISTA HEALTH PLAN, INC. ",VISTA Health Plan Inc. ,"Independence Health Group, Inc. ",4,3,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4232 ,Local CCP ,"AMERICAN HEALTH PLAN OF UT, INC. ",American Health Advantage of Utah ,Mitchell Family Office ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4279 ,Local CCP ,"UPMC FOR YOU, INC ",UPMC for Life Complete Care ,UPMC Health System ,2,4,4,4,4,3,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4286 ,Local CCP ,"LEON HEALTH, INC. ","Leon Health, Inc. ","LMC Family Holdings, LLC ",5,5,5,5,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4346 ,Local CCP ,"HMO COLORADO, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",3,2,Not enough data available ,3,5,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4407 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna Healthcare ,The Cigna Group ,4,4,5,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4439 ,Local CCP ,PROVIDER PARTNERS HEALTH PLAN OF NORTH CAROLINA ,Provider Partners Health Plans ,"Rifkin Managed Care Holding, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,3,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4444 ,Local CCP ,PROVIDER PARTNERS HEALTH PLAN OF INDIANA ,Provider Partners Health Plan of Indiana ,"Rifkin Managed Care Holding, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4461 ,Local CCP ,CARITEN HEALTH PLAN INC. ,Humana ,Humana Inc. ,4,4,5,4,4,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4471 ,Local CCP ,"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC. ",Anthem Blue Cross ,"Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,5,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4490 ,Local CCP ,"AMERICAN HEALTH PLAN OF MISSOURI, INC. ",American Health Advantage of Missouri ,Mitchell Family Office ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4497 ,Local CCP ,MEDICAL MUTUAL OF OHIO ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,4,3,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4499 ,Local CCP ,SENTARA HEALTH PLANS ,Sentara Medicare ,Sentara Health Care (SHC) ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4506 ,Local CCP ,"SELECTCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,4,3,3,4,3,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4513 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna Healthcare ,The Cigna Group ,4,4,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4514 ,Local CCP ,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",4,3,4,3,5,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4523 ,Local CCP ,AETNA HEALTH INC. (TX) ,Aetna Medicare ,CVS Health Corporation ,3,3,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4527 ,Local CCP ,"PHYSICIANS HEALTH CHOICE OF TEXAS, LLC ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",4,4,4,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4537 ,Local CCP ,"WELLCARE HEALTH INSURANCE COMPANY OF OKLAHOMA, INC ",Wellcare ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4544 ,Local CCP ,"PEOPLES HEALTH, INC. ",Peoples Health ,"UnitedHealth Group, Inc. ",3,3,3,3,Not enough data available ,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4604 ,Local CCP ,"UNITEDHEALTHCARE OF THE ROCKIES, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",4,4,3,5,4,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4605 ,Local CCP ,REGENCE BLUECROSS BLUESHIELD OF UTAH ,Regence BlueCross BlueShield of Utah ,"Cambia Health Solutions, Inc. ",4,3,5,5,4,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4618 ,Local CCP ,"SONDER HEALTH PLANS, INC. ","Sonder Health Plans, Inc. ","Avian Health Holdings, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4620 ,Local CCP ,"ESSENCE HEALTHCARE OF OHIO, INC. ",Essence Healthcare ,Lumeris Group Holdings Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4623 ,Local CCP ,"HUMANA REGIONAL HEALTH PLAN, INC. ",Humana ,Humana Inc. ,3,4,3,3,5,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4624 ,Local CCP ,"ZING HEALTH OF MICHIGAN, INC. ",Zing Health ,"Zing Health Consolidator, Inc ",3,3,3,3,3,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4647 ,Local CCP ,"NEW CENTURY HEALTH PLAN, INC. ",UCLA Health Medicare Advantage Plan ,The Regents of the University of California ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4661 ,Local CCP ,CELTIC INSURANCE COMPANY ,Wellcare ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,5,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4676 ,Local CCP ,"TROY HEALTH, INC. ",Troy Medicare ,"Troy Holdings, Inc. ",3,2,4,3,Not enough data available ,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4694 ,Local CCP ,"HEALTHKEEPERS, INC. ",Anthem HealthKeepers ,"Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4704 ,Local CCP ,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY ,Anthem Blue Cross Life and Health Insurance Compan ,"Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,5,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4711 ,Local CCP ,"COVENTRY HEALTH CARE OF NEBRASKA, INC. ",Aetna Medicare ,CVS Health Corporation ,2,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4733 ,Local CCP ,COMMUNITY HEALTH GROUP ,Community Health Group ,Community Health Group ,4,3,2,4,Plan too new to be measured ,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4739 ,Local CCP ,"SELECT HEALTH OF SOUTH CAROLINA, INC. ",First Choice VIP Care (HMO-D-SNP) ,"Independence Health Group, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4754 ,Local CCP ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource Medicare ,PacificSource ,2,2,4,5,3,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4801 ,Local CCP ,GHS INSURANCE COMPANY ,"Blue Cross and Blue Shield of OK, TX ",Health Care Service Corporation ,3,3,3,4,5,5,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4808 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF COLORADO INC ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4835 ,Local CCP ,AETNA BETTER HEALTH OF OKLAHOMA INC. ,Aetna Medicare ,CVS Health Corporation ,2,3,2,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4847 ,Local CCP ,"WELLCARE OF SOUTH CAROLINA, INC. ",Wellcare ,Centene Corporation ,3,3,3,3,Not enough data available ,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4868 ,Local CCP ,NEW YORK QUALITY HEALTHCARE CORPORATION ,Wellcare ,Centene Corporation ,3,3,Not enough data available ,4,4,5,4,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4869 ,Local CCP ,GOLD KIDNEY OF ARIZONA ,Gold Kidney Health Plan ,Gold Kidney Health Plan ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,2,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4875 ,Local CCP ,PRIORITY HEALTH ,Priority Health Medicare ,Corewell Health ,4,4,4,5,4,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4882 ,Local CCP ,"HEALTHPARTNERS, INC. ",HealthPartners ,"HealthPartners, Inc. ",5,3,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4909 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",3,3,3,4,4,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4931 ,Local CCP ,BANNER - UNIVERSITY CARE ADVANTAGE ,Banner Medicare Advantage ,Banner Health ,3,3,3,4,4,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4937 ,Local CCP ,CALIFORNIA PHYSICIANS' SERVICE ,Blue Shield of California ,California Physicians' Service ,4,2,1,3,4,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4943 ,Local CCP ,Scott & White Care Plans ,Baylor Scott & White Health Plan ,Baylor Scott & White Holdings ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,3,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4961 ,Local CCP ,ALIGNMENT HEALTH PLAN ,Alignment Health Plan ,"Alignment Healthcare USA, LLC ",5,4,4,4,5,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4982 ,Local CCP ,AETNA BETTER HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,3,3,1,2,3,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5008 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",3,3,2,3,4,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5009 ,Local CCP ,REGENCE BLUESHIELD ,Regence BlueShield ,"Cambia Health Solutions, Inc. ",3,3,2,4,4,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5010 ,Local CCP ,ASURIS NORTHWEST HEALTH ,Asuris Northwest Health ,"Cambia Health Solutions, Inc. ",4,3,3,4,Not enough data available ,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5015 ,Local CCP ,"TEXAS INDEPENDENCE HEALTH PLAN, INC. ",Texas Independence Health Plan ,Regency ISNP Holdings LLC ,Not enough data available ,5,Not enough data available ,5,Not enough data available ,3,5,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5042 ,Local CCP ,"CDPHP UNIVERSAL BENEFITS, INC. ",CDPHP Medicare Advantage ,"Capital District Physicians' Health Plan, Inc. ",5,4,5,5,5,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5050 ,Local CCP ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",4,4,3,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5087 ,Local CCP ,"WELLCARE OF CALIFORNIA, INC. ",Wellcare ,Centene Corporation ,3,3,Not enough data available ,3,4,5,3,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5106 ,Local CCP ,HIGHMARK SENIOR SOLUTIONS COMPANY ,Highmark Blue Cross Blue Shield ,Highmark Health ,3,3,5,4,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5117 ,Local CCP ,"LOUISIANA HEALTHCARE CONNECTIONS, INC. ",Wellcare by Allwell ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5141 ,Local CCP ,CLOVER INSURANCE COMPANY ,Clover Health ,"Clover Health Holdings, Inc. ",5,4,3,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5163 ,Local CCP ,VERDA HEALTH PLAN OF TEXAS INC ,Verda Health Plan of Texas ,"Verda Healthcare, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,3,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5178 ,Local CCP ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5190 ,Local CCP ,"SUNSHINE STATE HEALTH PLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5209 ,Local CCP ,"Molina Healthcare of Wisconsin, Inc. ",My Choice Wisconsin ,"Molina Healthcare, Inc. ",3,3,3,3,4,5,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5211 ,Local CCP ,"SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Security Health Plan of Wisconsin, Inc. ","Marshfield Clinic Health System, Inc. ",4,3,4,4,3,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5215 ,Local CCP ,NETWORK HEALTH INSURANCE CORPORATION ,Network Health Medicare Advantage Plans ,"Network Health, Inc. ",4,4,5,5,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5216 ,Local CCP ,HUMANA INSURANCE COMPANY ,Humana ,Humana Inc. ,4,4,4,4,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5232 ,Local CCP ,PARAMOUNT INSURANCE COMPANY ,Paramount Elite Medicare Plans ,MEDICAL MUTUAL OF OHIO ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5244 ,Local CCP ,SCAN HEALTH PLAN NEW MEXICO ,SCAN Health Plan New Mexico ,SCAN Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,5,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5253 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",4,3,4,5,4,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5256 ,1876 Cost ,MEDICAL ASSOCIATES CLINIC HEALTH PLAN ,Medical Associates Clinic Health Plan of Wisconsin ,"Medical Associates Clinic, P.C. ",4,4,5,5,Not enough data available ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5262 ,Local CCP ,QUARTZ HEALTH PLAN CORPORATION ,Quartz Medicare Advantage ,University of Wisconsin Hospitals and Clincs Autho ,5,3,4,4,3,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5264 ,1876 Cost ,"DEAN HEALTH PLAN, INC. ","Dean Health Plan, Inc. ",Medica Holding Company ,4,4,5,5,4,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5273 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Point32Health, Inc. ",5,3,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5280 ,Demo ,"MOLINA HEALTHCARE OF OHIO, INC. ",Molina Healthcare of Ohio ,"Molina Healthcare, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5294 ,Local CCP ,"SUPERIOR HEALTHPLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,3,3,3,3,4,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5296 ,Local CCP ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ",Alignment Health Plan ,"Alignment Healthcare USA, LLC ",5,5,5,4,Not enough data available ,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5299 ,Local CCP ,DEVOTED HEALTH PLAN OF NORTH CAROLINA INC ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,5,3,Plan too new to be measured ,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5302 ,Local CCP ,AETNA HEALTH INC. (GA) ,Aetna Medicare ,CVS Health Corporation ,3,4,4,3,5,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5309 ,Local CCP ,AETNA HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
