Contract,PartC_FAC,PartD_FAC,Overall_FAC,PartC_CAI,PartD_CAI,Overall_CAI
H5434,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5435,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5439,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5447,5.0,4.0,6.0,0.032302,0.046282,0.045683
H5453,,,,,,
H5454,6.0,4.0,7.0,0.059788,0.046282,0.058145
H5471,6.0,3.0,5.0,0.059788,-0.002688,0.01879
H5472,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5475,6.0,4.0,7.0,0.059788,0.046282,0.058145
H5496,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H5521,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H5522,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5525,5.0,4.0,5.0,0.032302,0.046282,0.01879
H5526,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5528,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5533,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H5549,6.0,5.0,8.0,0.059788,0.072332,0.101257
H5577,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5580,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5587,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5590,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5591,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H5593,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5594,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5599,7.0,4.0,8.0,0.080451,0.046282,0.101257
H5608,7.0,4.0,8.0,0.080451,0.046282,0.101257
H5619,5.0,4.0,6.0,0.032302,0.046282,0.045683
H5628,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5644,,,,,,
H5649,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H5652,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H5692,,,,,,
H5703,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5718,,,,,,
H5734,,,,,,
H5774,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5779,6.0,4.0,7.0,0.059788,0.046282,0.058145
H5793,7.0,4.0,8.0,0.080451,0.046282,0.101257
H5810,6.0,3.0,5.0,0.059788,-0.002688,0.01879
H5823,6.0,4.0,7.0,0.059788,0.046282,0.058145
H5826,6.0,4.0,7.0,0.059788,0.046282,0.058145
H5828,6.0,5.0,7.0,0.059788,0.072332,0.058145
H5843,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H5852,7.0,5.0,8.0,0.080451,0.072332,0.101257
H5854,7.0,4.0,8.0,0.080451,0.046282,0.101257
H5859,8.0,6.0,9.0,0.10237,0.128476,0.145515
H5883,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H5900,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
