FIPS,County,State,Total OB-GYNs,Connected OB-GYNs,Hub Providers,Isolated OB-GYNs,Mean Degree,Pct Connected,Pct Isolated,Pct Hub,Subspecialties,Total Births,Morbidity Births,Morbidity Rate Raw,OB-GYN per 10K Births,Mean Betweenness,Mean Shared Patients,Morbidity Rate (%)
54039,"Kanawha County, WV",WV,43,15,2,28,2.09,34.9,65.1,4.7,7,1968,32.0,0.016260162601626,218.5,2.2e-05,33.1,1.63
55009,"Brown County, WI",WI,59,10,3,49,1.36,16.9,83.1,5.1,7,3336,35.0,0.0104916067146282,176.9,4e-06,22.8,1.05
55025,"Dane County, WI",WI,179,17,4,162,0.82,9.5,90.5,2.2,7,6052,153.0,0.0252808988764044,295.8,6e-06,12.0,2.53
55039,"Fond du Lac County, WI",WI,12,2,0,10,0.25,16.7,83.3,0.0,2,1031,27.0,0.026188166828322,116.4,0.0,3.5,2.62
55059,"Kenosha County, WI",WI,22,2,0,20,0.18,9.1,90.9,0.0,3,1936,44.0,0.0227272727272727,113.6,0.0,2.1,2.27
55063,"La Crosse County, WI",WI,38,8,1,30,0.68,21.1,78.9,2.6,3,1188,16.0,0.0134680134680134,319.9,0.0,9.8,1.35
55073,"Marathon County, WI",WI,15,2,0,13,0.27,13.3,86.7,0.0,2,1635,10.0,0.0061162079510703,91.7,0.0,3.5,0.61
55079,"Milwaukee County, WI",WI,243,33,2,210,0.6,13.6,86.4,0.8,7,13658,225.0,0.0164738614731293,177.9,6e-06,9.8,1.65
55087,"Outagamie County, WI",WI,30,3,0,27,0.1,10.0,90.0,0.0,3,2319,36.0,0.0155239327296248,129.4,0.0,1.2,1.55
55101,"Racine County, WI",WI,20,12,1,8,1.85,60.0,40.0,5.0,3,2417,43.0,0.0177906495655771,82.8,1e-06,27.6,1.78
55105,"Rock County, WI",WI,22,9,0,13,1.95,40.9,59.1,0.0,2,2003,43.0,0.0214677983025461,109.8,0.0,28.1,2.15
55117,"Sheboygan County, WI",WI,11,3,0,8,0.64,27.3,72.7,0.0,2,1257,14.0,0.011137629276054,87.5,0.0,9.4,1.11
55127,"Walworth County, WI",WI,6,2,0,4,0.67,33.3,66.7,0.0,1,967,26.0,0.0268872802481902,62.0,0.0,11.5,2.69
55131,"Washington County, WI",WI,24,6,0,18,0.88,25.0,75.0,0.0,3,1331,23.0,0.0172802404207362,180.3,5e-06,13.1,1.73
55133,"Waukesha County, WI",WI,77,16,2,61,1.03,20.8,79.2,2.6,5,4008,51.0,0.0127245508982035,192.1,8.7e-05,18.3,1.27
55139,"Winnebago County, WI",WI,19,1,0,18,0.11,5.3,94.7,0.0,1,1905,32.0,0.0167979002624671,99.7,0.0,1.3,1.68
