ID,Neighborhood,Total Jobs,Total Jobs Change,Number of jobs in NAICS sector 22 (Utilities),Change Utilities,Number of jobs in NAICS sector 23 (Construction),Change Construction,Number of jobs in NAICS sector 31-33 (Manufacturing),Change Manufacturing,Number of jobs in NAICS sector 42 (Wholesale Trade),Change Wholesale Trade,Number of jobs in NAICS sector 44-45 (Retail Trade),Change Retail Trade,Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Change Transportation and Warehousing,Number of jobs in NAICS sector 51 (Information),Change Information,Number of jobs in NAICS sector 52 (Finance and Insurance),Change Finance and Insurance,Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),Change Real Estate and Leasing,"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Change Professional Services,Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Change Management,Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Change Waste Management,Number of jobs in NAICS sector 61 (Educational Services),Change Educational Services,Number of jobs in NAICS sector 62 (Health Care and Social Assistance),Change Health Care,"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Change Arts and Rec,Number of jobs in NAICS sector 72 (Accommodation and Food Services),Change Accomodation and Food Service,Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Change Other Services
120,Vernon Central,14556,-2070,45,1,586,-23,1835,-128,1012,-61,1754,-175,765,-61,307,-101,289,9,236,-17,559,-50,167,-10,1474,-147,883,-194,2110,-127,267,-104,1767,-742,500,-140
121,Victoria Park,3025,-508,11,0,69,-3,145,-10,144,-9,324,-32,99,-8,173,-57,100,3,81,-6,204,-18,43,-3,240,-24,212,-47,485,-29,93,-36,433,-182,169,-47
122,View Heights,1943,-306,15,0,38,-2,86,-6,53,-3,162,-16,139,-11,174,-57,46,1,39,-3,165,-15,28,-2,150,-15,199,-44,353,-21,56,-22,163,-68,77,-22
123,Watts,12348,-1710,47,1,498,-20,1306,-91,700,-42,1291,-129,776,-62,214,-71,263,8,225,-16,421,-38,143,-9,1435,-144,732,-161,2223,-133,219,-85,1416,-595,439,-123
124,Wellington Square,2063,-327,10,0,51,-2,95,-7,69,-4,196,-20,52,-4,137,-45,57,2,63,-4,145,-13,35,-2,215,-22,165,-36,396,-24,51,-20,245,-103,81,-23
125,West Adams,9467,-1535,53,1,291,-12,536,-38,378,-23,1040,-104,385,-31,462,-152,249,7,202,-14,496,-45,114,-7,844,-84,722,-159,1669,-100,267,-104,1267,-532,492,-138
126,West Hills,18539,-2768,80,2,745,-30,1137,-80,693,-42,1728,-173,325,-26,1794,-592,1171,35,423,-30,1800,-162,267,-16,1143,-114,1664,-366,2940,-176,434,-169,1531,-643,664,-186
127,West Los Angeles,18612,-3283,52,1,311,-12,573,-40,586,-35,1263,-126,299,-24,3081,-1017,914,27,579,-41,2931,-264,254,-15,1023,-102,1677,-369,2103,-126,617,-241,1726,-725,623,-174
128,West Vernon,19548,-2985,86,2,627,-25,1423,-100,916,-55,2256,-226,976,-78,595,-196,438,13,412,-29,893,-80,242,-15,1977,-198,1282,-282,3491,-209,416,-162,2574,-1081,944,-264
129,Westchester,22980,-3744,118,2,542,-22,1261,-88,800,-48,1696,-170,971,-78,2694,-889,961,29,647,-45,2977,-268,350,-21,1352,-135,2647,-582,2642,-159,639,-249,1927,-809,756,-212
130,Westlake,16909,-2742,35,1,472,-19,1110,-78,920,-55,1809,-181,509,-41,929,-307,566,17,384,-27,1247,-112,294,-18,1448,-145,993,-218,2563,-154,398,-155,2465,-1035,767,-215
131,Westwood,16820,-2956,31,1,315,-13,633,-44,678,-41,1224,-122,303,-24,2482,-819,709,21,436,-31,2077,-187,235,-14,876,-88,1983,-436,2129,-128,542,-211,1522,-639,645,-181
132,Wholesale District,12802,-1950,62,1,385,-15,890,-62,858,-51,1360,-136,478,-38,810,-267,395,12,244,-17,951,-86,192,-12,1085,-109,822,-181,2033,-122,307,-120,1479,-621,451,-126
133,Wilmington,21491,-2980,112,2,1124,-45,2403,-168,1122,-67,2512,-251,2207,-177,327,-108,475,14,397,-28,794,-71,333,-20,1921,-192,1113,-245,2895,-174,339,-132,2580,-1084,837,-234
134,Wilshire Center,18097,-2951,57,1,368,-15,862,-60,1007,-60,1985,-199,503,-40,1271,-419,673,20,457,-32,1403,-126,292,-18,1370,-137,1007,-222,3043,-183,461,-180,2476,-1040,862,-241
135,Winnetka,24417,-3560,92,2,992,-40,1795,-126,870,-52,2687,-269,533,-43,1620,-535,1222,37,527,-37,1880,-169,376,-23,1841,-184,1647,-362,4445,-267,543,-212,2453,-1030,894,-250
136,Woodland Hills,24503,-3709,81,2,898,-36,1179,-83,908,-54,2284,-228,414,-33,2686,-886,1650,50,625,-44,2641,-238,378,-23,1567,-157,2013,-443,3721,-223,697,-272,1912,-803,849,-238
